Date,vwretx,ewretx
2008-09-12,0.005325,0.004843
2008-09-15,-0.045703,-0.039367
2008-09-16,0.015178,0.003354
2008-09-17,-0.04551,-0.040954
2008-09-18,0.04393,0.041432
2008-09-19,0.046072,0.04939
2008-09-22,-0.036855,-0.026898
2008-09-23,-0.015644,-0.012863
2008-09-24,-0.003309,-0.00926
2008-09-25,0.016499,0.008804
2008-09-26,-0.002232,-0.008583
2008-09-29,-0.082667,-0.061315
2008-09-30,0.046624,0.027735
2008-10-01,-0.005865,-0.004764
2008-10-02,-0.045793,-0.039139
2008-10-03,-0.014354,-0.016903
2008-10-06,-0.0424,-0.059337
2008-10-07,-0.057978,-0.047041
2008-10-08,-0.012057,-0.026977
2008-10-09,-0.072814,-0.063757
2008-10-10,-0.012148,-0.006893
2008-10-13,0.114856,0.107335
2008-10-14,-0.009054,-0.001721
2008-10-15,-0.089896,-0.070866
2008-10-16,0.03961,0.02952
2008-10-17,-0.002526,0.001614
2008-10-20,0.046499,0.035473
2008-10-21,-0.031536,-0.02072
2008-10-22,-0.059307,-0.048986
2008-10-23,0.000784,-0.020324
2008-10-24,-0.033433,-0.031311
2008-10-27,-0.036967,-0.035395
2008-10-28,0.095337,0.050347
2008-10-29,0.001204,0.021377
2008-10-30,0.031793,0.03553
2008-10-31,0.018086,0.033871
2008-11-03,-0.000681,0.008574
2008-11-04,0.039025,0.026518
2008-11-05,-0.05122,-0.03761
2008-11-06,-0.049359,-0.038225
2008-11-07,0.026195,0.014395
2008-11-10,-0.013454,-0.019251
2008-11-11,-0.024377,-0.028206
2008-11-12,-0.054033,-0.054534
2008-11-13,0.067916,0.048289
2008-11-14,-0.043854,-0.039664
2008-11-17,-0.024051,-0.022115
2008-11-18,0.005537,-0.010832
2008-11-19,-0.064128,-0.064622
2008-11-20,-0.070164,-0.067122
2008-11-21,0.060956,0.033422
2008-11-24,0.066132,0.063574
2008-11-25,0.009497,0.015273
2008-11-26,0.038065,0.051933
2008-11-28,0.010071,0.019966
2008-12-01,-0.089489,-0.078335
2008-12-02,0.037615,0.035171
2008-12-03,0.023611,0.014519
2008-12-04,-0.030185,-0.021918
2008-12-05,0.036106,0.025995
2008-12-08,0.040291,0.0378
2008-12-09,-0.022424,-0.014945
2008-12-10,0.015048,0.021801
2008-12-11,-0.030256,-0.027158
2008-12-12,0.010457,0.017702
2008-12-15,-0.01392,-0.019502
2008-12-16,0.052875,0.046585
2008-12-17,-0.004892,0.010663
2008-12-18,-0.020583,-0.012006
2008-12-19,0.00379,0.003476
2008-12-22,-0.019278,-0.013129
2008-12-23,-0.007877,-0.008267
2008-12-24,0.004077,0.004547
2008-12-26,0.00716,0.010885
2008-12-29,-0.004741,-0.015756
2008-12-30,0.02464,0.021245
2008-12-31,0.017395,0.034415
2009-01-02,0.030309,0.038221
2009-01-05,-0.000623,0.016737
2009-01-06,0.011293,0.03362
2009-01-07,-0.030886,-0.022326
2009-01-08,0.006246,0.011791
2009-01-09,-0.022424,-0.018761
2009-01-12,-0.025571,-0.026627
2009-01-13,0.003435,0.003321
2009-01-14,-0.035286,-0.035146
2009-01-15,0.004593,0.00556
2009-01-16,0.008407,0.008781
2009-01-20,-0.055335,-0.051546
2009-01-21,0.043057,0.036035
2009-01-22,-0.018311,-0.021994
2009-01-23,0.006849,0.003358
2009-01-26,0.006096,0.010055
2009-01-27,0.011296,0.010029
2009-01-28,0.033635,0.03037
2009-01-29,-0.032937,-0.028987
2009-01-30,-0.020784,-0.012876
2009-02-02,-0.001098,0.001473
2009-02-03,0.0143,0.008913
2009-02-04,-0.005023,-0.004255
2009-02-05,0.015498,0.011872
2009-02-06,0.02767,0.026639
2009-02-09,0.001196,0.000726
2009-02-10,-0.046067,-0.035136
2009-02-11,0.006906,0.004182
2009-02-12,0.002453,-0.000841
2009-02-13,-0.008896,-0.002143
2009-02-17,-0.04541,-0.041936
2009-02-18,-0.003949,-0.011852
2009-02-19,-0.011596,-0.015205
2009-02-20,-0.011934,-0.020079
2009-02-23,-0.036247,-0.030867
2009-02-24,0.040229,0.037721
2009-02-25,-0.010897,-0.015701
2009-02-26,-0.01232,-0.00725
2009-02-27,-0.019107,-0.010422
2009-03-02,-0.049868,-0.055772
2009-03-03,-0.006363,-0.013959
2009-03-04,0.025605,0.029521
2009-03-05,-0.041923,-0.049146
2009-03-06,0.001406,-0.002324
2009-03-09,-0.012485,-0.016503
2009-03-10,0.06335,0.062493
2009-03-11,0.003701,0.004968
2009-03-12,0.041676,0.050889
2009-03-13,0.00598,0.009467
2009-03-16,-0.004821,0.001224
2009-03-17,0.031011,0.030329
2009-03-18,0.022347,0.034035
2009-03-19,-0.008021,0.007594
2009-03-20,-0.020381,-0.014321
2009-03-23,0.068951,0.064724
2009-03-24,-0.020017,-0.016143
2009-03-25,0.008945,0.017629
2009-03-26,0.025257,0.035754
2009-03-27,-0.021843,-0.021833
